state,q_values
"(' ', ' ', 'X', 'X', 'X', ' ', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', 'X', 'O', 'O', 'X', 'O', 'X')",[10.  0.  0.  0.  0.  0.  0.  0.  0.]
"(' ', 'X', ' ', ' ', 'X', 'O', 'O', 'O', 'X')","[10.          0.          5.69244905  9.34191961  0.          0.
  0.          0.          0.        ]"
"('X', ' ', ' ', 'X', 'O', 'X', 'O', 'O', ' ')",[  0. -10. -10.   0.   0.   0.   0.   0. -10.]
"('X', 'O', ' ', ' ', 'X', 'O', 'X', 'O', ' ')",[ 0.  0. 10. 10.  0.  0.  0.  0. 10.]
"(' ', 'O', ' ', ' ', 'X', 'X', 'X', 'O', 'O')","[ 9.5        0.         9.9999998 10.         0.         0.
  0.         0.         0.       ]"
"('O', 'X', 'O', ' ', ' ', ' ', ' ', 'X', ' ')","[ 0.          0.          0.          9.04654874 10.          1.59495819
  9.5         0.          9.5       ]"
"('X', ' ', 'X', 'X', 'O', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', 'X', 'O', ' ', ' ', ' ', 'X')","[0.         4.79777013 6.11074872 0.         0.         8.3343913
 9.30847959 6.20404564 0.        ]"
"('O', ' ', 'X', ' ', 'O', 'X', 'X', 'O', ' ')","[ 0.          9.47400143  0.         -9.9968      0.          0.
  0.          0.         10.        ]"
"('O', 'X', ' ', 'X', 'O', 'X', ' ', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', ' ', 'O', 'X', 'X', ' ', 'O')","[ 0.          0.         -9.98035876 10.          0.          0.
  0.          8.58070159  0.        ]"
"('X', 'O', 'X', 'X', 'O', ' ', ' ', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'X', ' ', 'O', 'X', ' ', ' ', 'O')","[0.         0.         0.         4.18265601 0.         0.
 2.29559366 4.75       0.        ]"
"('X', 'X', 'X', 'O', ' ', ' ', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', 'X', 'X', 'O', 'O', ' ')","[ 0.          5.72999967 -6.72400991  0.          0.          0.
  0.          0.         10.        ]"
"('X', ' ', ' ', 'O', 'X', 'X', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', 'X', 'O', 'X', 'X', 'O', ' ')","[ 0.         -9.99981871 -9.9999744   0.          0.          0.
  0.          0.          1.8235695 ]"
"('O', 'X', ' ', ' ', 'X', 'X', 'O', ' ', 'O')","[ 0.          0.         -9.99999898 10.          0.          0.
  0.          9.9999998   0.        ]"
"(' ', ' ', 'X', 'X', 'O', ' ', 'O', 'X', 'O')","[ 9.49391018 -6.22999201  0.          0.          0.          4.16380761
  0.          0.          0.        ]"
"('X', ' ', 'O', 'X', 'O', 'X', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', ' ', 'X', 'O', 'X', ' ', 'X')","[ 0.          0.         10.          9.37019835  0.          0.
  0.         10.          0.        ]"
"('O', 'O', ' ', 'X', ' ', ' ', 'O', 'X', 'X')","[ 0.          0.          4.75729843  0.          2.2720365  -9.35099904
  0.          0.          0.        ]"
"(' ', 'X', 'O', 'X', 'X', 'X', 'O', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', 'X', ' ', 'O', 'X', 'X', ' ', ' ')","[ 0.          0.          0.         -9.99999996  0.          0.
  0.         -9.873952   10.        ]"
"(' ', 'O', ' ', 'X', 'O', ' ', 'X', 'X', 'O')","[10.          0.          6.37499822  0.          0.          9.49875712
  0.          0.          0.        ]"
"(' ', 'O', 'X', ' ', ' ', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', ' ', ' ', 'O', 'O', 'O', ' ', 'X')","[  0.           0.          10.          -9.22100643   0.
   0.           0.         -10.           0.        ]"
"(' ', ' ', 'O', 'X', 'O', ' ', 'X', 'X', 'O')","[10.        -9.9999744  0.         0.         0.        -6.2298368
  0.         0.         0.       ]"
"('X', ' ', 'O', 'X', ' ', 'O', ' ', 'O', 'X')","[ 0.         9.5        0.         0.         9.9999998  0.
 10.         0.         0.       ]"
"('O', ' ', ' ', 'O', ' ', 'X', ' ', ' ', 'X')","[ 0.         -6.15846534 10.          0.          6.07580017  0.
  9.5         9.49500634  0.        ]"
"('O', ' ', ' ', 'X', 'X', 'X', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'O', ' ', 'O', 'O', ' ', ' ', 'X')","[  0.           0.           0.          -9.87419195   0.
   0.          -9.97399202 -10.           0.        ]"
"('X', ' ', 'O', 'O', 'O', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', 'O', 'X', 'X', 'X', 'X', 'O')",[ 0. 10.  0.  0.  0.  0.  0.  0.  0.]
"(' ', ' ', 'O', 'X', ' ', 'X', 'X', 'O', 'O')","[ 9.99999999  9.49999514  0.          0.         10.          0.
  0.          0.          0.        ]"
"('X', ' ', 'O', 'X', ' ', 'X', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'O', ' ', ' ', 'O', 'O', 'X', ' ')","[ 0.          0.          0.         -9.99999488 10.          0.
  0.          0.         -9.96882432]"
"(' ', ' ', ' ', ' ', 'O', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', 'X', 'X', 'X', ' ', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', 'O', 'X', 'X', ' ', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', ' ', 'X', 'O', 'O', ' ', 'O')","[10.          0.          0.         -9.84520639  0.          0.
  0.          9.99999898  0.        ]"
"('O', 'O', 'X', ' ', 'X', ' ', ' ', 'X', 'O')",[ 0.   0.   0.   9.5  0.   9.5 10.   0.   0. ]
"(' ', 'O', ' ', 'X', 'X', 'X', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', 'O', ' ', 'O', 'X', 'O', ' ')","[ 0.         10.          0.          0.         10.          0.
  0.          0.          5.60523968]"
"('X', ' ', 'X', 'O', 'X', 'O', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', 'X', ' ', 'O', 'X', 'O', ' ')","[0.         0.         5.6632666  0.         4.78067968 0.
 0.         0.         4.74239805]"
"(' ', 'X', 'O', 'O', ' ', ' ', 'X', 'X', 'O')","[ 1.91407173  0.          0.          0.         10.          5.54496
  0.          0.          0.        ]"
"('X', ' ', 'O', 'O', 'O', 'X', ' ', 'X', ' ')","[ 0.         -7.16799975  0.          0.          0.          0.
  4.7573568   0.         -9.87519833]"
"('X', 'O', 'O', 'O', ' ', ' ', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', 'X', 'X', ' ', 'O', 'X', 'O')",[ 0.  10.   9.5  0.   0.  10.   0.   0.   0. ]
"('O', 'X', 'X', ' ', 'O', ' ', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', 'O', 'X', 'O', 'X', ' ', ' ')","[ 8.72523355  0.          0.          0.          0.          0.
  0.         10.          9.5       ]"
"(' ', 'O', 'O', 'O', 'X', 'X', ' ', 'X', ' ')","[ 8.55006072  0.          0.          0.          0.          0.
  4.17978654  0.         -6.74920128]"
"('O', ' ', 'O', 'X', ' ', 'X', ' ', 'X', 'O')","[ 0.         -9.34552489  0.          0.         10.          0.
 -9.984       0.          0.        ]"
"(' ', 'O', 'X', 'X', ' ', 'X', 'O', ' ', 'O')","[ 2.38545469  0.          0.          0.         10.          0.
  0.          8.7094784   0.        ]"
"('X', ' ', 'O', ' ', 'O', 'O', 'X', ' ', 'X')","[ 0.         -9.87499195  0.         10.          0.          0.
  0.         10.          0.        ]"
"('O', 'O', ' ', 'X', 'O', ' ', ' ', 'X', 'X')","[ 0.         0.         9.5        0.         0.        -9.3448004
 10.         0.         0.       ]"
"(' ', 'O', 'X', 'O', ' ', ' ', 'X', 'X', 'O')","[ 8.73264524  0.          0.          0.         10.          8.73998988
  0.          0.          0.        ]"
"(' ', ' ', 'O', ' ', 'O', 'X', 'X', ' ', ' ')","[9.14384142 5.17492061 0.         0.06358053 0.         0.
 0.         4.97174685 5.50841473]"
"('X', ' ', 'O', 'O', 'O', 'X', 'X', ' ', ' ')","[0.         4.75       0.         0.         0.         0.
 0.         9.46809208 4.90321802]"
"(' ', 'X', ' ', 'O', 'X', 'O', ' ', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'O', 'O', 'X', 'O', 'X', ' ')","[ 9.5       8.720048  0.        0.        0.        0.        0.
  0.       10.      ]"
"('O', 'X', ' ', ' ', ' ', ' ', 'O', ' ', 'X')","[ 0.          0.          4.49530635  8.87558005  5.75044504 -6.25475311
  0.          0.09470963  0.        ]"
"('O', ' ', 'O', 'X', ' ', 'X', 'O', 'X', ' ')",[ 0.    -9.296  0.     0.    10.     0.     0.     0.    -9.6  ]
"(' ', 'X', ' ', 'O', ' ', 'O', ' ', 'X', ' ')","[ 6.23019968  0.          9.49995996  0.         10.          0.
  5.63107762  0.          6.3737856 ]"
"('O', ' ', 'X', 'O', 'X', 'O', ' ', 'X', ' ')","[ 0.          9.99999996  0.          0.          0.          0.
 10.          0.          8.8757522 ]"
"('O', 'X', 'X', 'O', 'X', 'O', ' ', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', ' ', ' ', 'X', 'O', 'X')","[ 0.          0.         -9.99480832  0.         -9.34504128 -9.9999744
  0.          0.          0.        ]"
"('X', ' ', 'X', 'O', 'X', 'O', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', ' ', ' ', 'X', ' ', ' ', 'O')","[0.         0.94763165 0.         9.5        9.09107515 0.
 9.49994882 8.99584081 0.        ]"
"('X', ' ', 'O', 'X', ' ', 'X', ' ', 'O', 'O')","[ 0.          6.25519162  0.          0.         10.          0.
  9.999872    0.          0.        ]"
"('X', 'X', 'O', ' ', ' ', 'O', ' ', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'X', 'X', ' ', 'O', 'O', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', 'X', 'O', ' ', 'X', 'O', ' ')","[ 0.          0.          2.29407027  0.          0.         -7.63606784
  0.          0.          4.75      ]"
"(' ', 'X', 'X', ' ', 'X', 'O', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', 'X', ' ', 'X', 'X', 'O', ' ', ' ')","[ 0.          0.          0.         10.          0.          0.
  0.         -9.99996005 10.        ]"
"('X', 'X', 'X', 'O', ' ', ' ', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', 'O', 'X', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', 'X', 'X', ' ', 'O', ' ', ' ', 'X')","[0.         0.         0.         0.         4.7866624  0.
 9.5        4.78045594 0.        ]"
"('X', 'X', 'O', 'O', ' ', 'O', 'X', ' ', ' ')","[ 0.          0.          0.          0.         -9.99396799  0.
  0.         -9.999872    8.7249924 ]"
"('O', 'O', ' ', ' ', 'X', 'O', 'X', 'X', ' ')","[ 0.          0.         10.          8.72519335  0.          0.
  0.          0.         10.        ]"
"('O', 'O', ' ', ' ', 'X', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', 'O', 'O', ' ', ' ', 'O', 'X')","[  0.          10.           0.           0.           0.
   9.99999999 -10.           0.           0.        ]"
"('O', ' ', 'O', 'X', 'X', ' ', 'X', ' ', 'O')","[  0.          -9.22024155   0.           0.           0.
  10.           0.         -10.           0.        ]"
"('X', ' ', 'O', 'X', 'O', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', ' ', 'O', 'O', 'X', 'O', ' ')","[10.          0.          0.          8.58186941  0.          0.
  0.          0.         -9.88293767]"
"(' ', ' ', 'O', ' ', 'O', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', 'X', 'O', ' ', ' ', 'X')","[ 0.          0.          8.58673495  0.          0.          0.
 -6.87380026 -9.98093169  0.        ]"
"('X', 'O', ' ', 'X', 'O', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', ' ', 'X', ' ', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', 'X', 'O', 'O', 'X', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'X', 'O', ' ', 'X', 'O', 'X')","[10.          9.31638183  0.          0.          0.         -9.9046635
  0.          0.          0.        ]"
"('X', ' ', 'X', 'O', ' ', 'X', ' ', 'O', 'O')","[ 0.         10.          0.          0.         -9.86896198  0.
  9.5         0.          0.        ]"
"('X', ' ', ' ', 'O', 'X', ' ', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', 'X', ' ', 'X', ' ', ' ', ' ')","[ 0.          9.49999943  0.          0.         10.          0.
 -6.24050639  5.63071344 -9.52683936]"
"(' ', 'X', ' ', 'O', 'O', ' ', 'X', 'X', 'O')","[ 1.80377721  0.         -9.999872    0.          0.         -9.99528151
  0.          0.          0.        ]"
"(' ', 'X', 'O', 'O', 'X', 'O', ' ', ' ', 'X')","[10.          0.          0.          0.          0.          0.
  9.49999903  9.999872    0.        ]"
"(' ', 'O', 'O', ' ', 'X', 'X', 'X', ' ', 'O')","[ 9.49361639  0.          0.         10.          0.          0.
  0.         -9.98032728  0.        ]"
"('O', 'X', ' ', ' ', 'X', 'O', ' ', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'X', 'O', 'X', ' ', 'O', 'O')","[ 0.          5.60124314 -9.9999998   0.          0.          0.
 10.          0.          0.        ]"
"('O', 'X', 'X', 'O', ' ', 'X', ' ', 'O', ' ')","[ 0.          0.          0.          0.         -9.250176    0.
  9.49999514  0.         10.        ]"
"('X', 'O', ' ', 'X', ' ', ' ', 'O', 'O', 'X')","[ 0.          0.         -9.96999827  0.         10.         -6.1060393
  0.          0.          0.        ]"
"(' ', ' ', 'O', 'O', 'X', 'O', 'X', ' ', 'X')",[10.   9.5  0.   0.   0.   0.   0.  10.   0. ]
"(' ', ' ', 'X', 'O', ' ', 'O', 'X', 'O', 'X')","[-6.75396007 -6.10503353  0.          0.         10.          0.
  0.          0.          0.        ]"
"(' ', 'X', ' ', 'O', ' ', 'X', 'O', 'O', 'X')","[ 9.49999514  0.         10.          0.         -9.8596864   0.
  0.          0.          0.        ]"
"('X', 'O', 'O', ' ', ' ', ' ', 'X', 'X', 'O')","[ 0.          0.          0.         10.          4.17963544  5.66952704
  0.          0.          0.        ]"
"(' ', 'O', 'X', ' ', 'X', ' ', 'O', 'X', 'O')","[4.75       0.         0.         4.75632517 0.         5.51025497
 0.         0.         0.        ]"
"('X', 'O', 'O', ' ', 'O', ' ', 'X', ' ', 'X')","[ 0.          0.          0.         10.          0.          9.49879387
  0.         10.          0.        ]"
"('X', 'O', 'O', 'X', 'O', ' ', 'X', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', 'O', ' ', ' ', ' ', 'O', 'X', 'X')","[  0.           0.           0.          -9.25020058  10.
 -10.           0.           0.           0.        ]"
"(' ', 'O', 'O', ' ', ' ', ' ', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'X', 'O', ' ', ' ', 'X', 'O', ' ')","[ 0.          0.          0.          0.         10.         -9.35003967
  0.          0.          6.25500024]"
"(' ', ' ', 'O', 'O', 'X', 'X', 'O', ' ', 'X')","[10.          8.72499392  0.          0.          0.          0.
  0.          8.87595008  0.        ]"
"('O', ' ', ' ', ' ', ' ', 'O', 'X', 'X', ' ')","[ 0.          9.5         9.5         8.48743211  9.5         0.
  0.          0.         10.        ]"
"('O', 'X', ' ', 'O', 'X', 'O', 'X', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'X', ' ', 'X', 'O', 'X', 'O')","[ 4.93269386  0.          5.54040196  0.         10.          0.
  0.          0.          0.        ]"
"('O', 'O', 'X', 'X', ' ', ' ', 'O', ' ', 'X')","[ 0.          0.          0.          0.          9.31000983 10.
  0.          4.75608008  0.        ]"
"(' ', ' ', 'X', ' ', 'O', 'O', 'X', 'O', 'X')","[-10.          -9.99981121   0.           4.1637835    0.
   0.           0.           0.           0.        ]"
"('O', ' ', 'O', 'X', ' ', 'X', ' ', 'O', 'X')","[ 0.          9.31601881  0.          0.         10.          0.
 -9.9802368   0.          0.        ]"
"('O', 'X', ' ', 'X', ' ', 'X', ' ', 'O', 'O')",[ 0.      0.     -9.92    0.     10.      0.      6.2272  0.      0.    ]
"('O', ' ', ' ', ' ', 'X', 'O', 'X', 'X', 'O')","[ 0.        10.        10.        -6.7549508  0.         0.
  0.         0.         0.       ]"
"('O', 'X', ' ', ' ', 'X', 'O', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'O', 'X', 'O', ' ', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'O', 'X', 'O', ' ', ' ', ' ', 'X')","[ 0.          0.          0.          0.          0.         -9.9999744
 10.         -9.97383233  0.        ]"
"(' ', 'O', ' ', 'X', 'X', 'X', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', 'O', 'X', ' ', 'X', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'X', ' ', 'O', 'X', ' ', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', ' ', 'O', 'O', 'X', 'X', ' ', 'X')","[-6.85379366  0.         10.          0.          0.          0.
  0.          9.99999898  0.        ]"
"('O', 'X', 'X', 'O', 'X', ' ', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'X', 'X', 'X', ' ', ' ', 'O', 'O')","[ 0.         -6.75496031  0.          0.          0.         10.
 10.          0.          0.        ]"
"('X', 'O', ' ', 'X', ' ', 'X', 'O', 'O', ' ')",[ 0.    0.   -9.6   0.   10.    0.    0.    0.    9.12]
"('X', ' ', ' ', ' ', ' ', 'X', 'O', 'O', ' ')","[0.         1.27599669 6.         6.22464    9.495008   0.
 0.         0.         9.5       ]"
"('X', ' ', ' ', 'X', ' ', 'X', 'O', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', ' ', 'X', 'X', 'O', 'O', 'X')",[10.   9.5  0.  10.   0.   0.   0.   0.   0. ]
"(' ', ' ', 'O', 'X', 'X', 'X', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'X', 'X', 'O', 'O', 'O', ' ', 'X')","[4.75147087 9.31024563 0.         0.         0.         0.
 0.         4.75       0.        ]"
"('O', 'O', 'X', 'X', 'X', 'X', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', 'X', 'X', 'X', ' ', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', 'X', ' ', 'O', 'O', 'O', 'X', ' ')","[ 0.         10.          0.          8.70350784  0.          0.
  0.          0.         -7.16706234]"
"(' ', ' ', ' ', 'O', 'X', 'X', 'O', 'O', 'X')","[10.         -9.25016134 10.          0.          0.          0.
  0.          0.          0.        ]"
"('O', 'X', 'O', 'X', ' ', 'X', 'O', ' ', ' ')","[ 0.          0.          0.          0.         10.          0.
  0.         -9.92        9.48470272]"
"('X', ' ', ' ', 'O', 'O', 'X', ' ', 'O', 'X')","[ 0.          5.66953928 10.          0.          0.          0.
  2.38999874  0.          0.        ]"
"(' ', 'O', 'O', 'X', ' ', ' ', 'X', 'O', 'X')","[10.         0.         0.         0.        -9.3460224 -9.984
  0.         0.         0.       ]"
"('X', ' ', 'O', 'X', 'X', 'O', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', 'O', 'X', ' ', 'X', 'O', ' ', ' ')","[ 0.          0.          0.          0.         10.          0.
  0.         -9.34584828 -6.87380193]"
"(' ', ' ', ' ', 'X', 'X', 'O', 'O', 'O', 'X')","[10.          9.34166699  9.46322777  0.          0.          0.
  0.          0.          0.        ]"
"('O', 'X', ' ', 'X', 'O', 'O', ' ', ' ', 'X')","[0.         0.         4.75       0.         0.         0.
 4.75755136 4.93993959 0.        ]"
"('O', ' ', 'O', 'X', ' ', 'O', ' ', 'X', 'X')","[ 0.          9.49999996  0.          0.         -6.72423963  0.
 10.          0.          0.        ]"
"(' ', 'O', ' ', 'O', ' ', ' ', 'X', 'X', ' ')","[ 9.5         0.          9.5         0.          9.5         9.47886173
  0.          0.         10.        ]"
"('O', 'X', ' ', ' ', 'O', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'O', 'O', 'X', 'X', 'X', ' ', ' ')","[ 9.31000974  0.          0.          0.          0.          0.
  0.          4.24       -9.84504026]"
"('X', ' ', 'O', 'X', ' ', ' ', 'O', 'X', 'O')","[ 0.         -9.9999998   0.          0.         -9.345       9.36920926
  0.          0.          0.        ]"
"('O', ' ', 'O', 'O', ' ', 'X', ' ', 'X', 'X')","[ 0.         -9.37036803  0.          0.         -9.99936     0.
 10.          0.          0.        ]"
"(' ', 'X', 'O', 'X', ' ', 'X', ' ', 'O', 'O')","[-9.84500327  0.          0.          0.         10.          0.
  9.5         0.          0.        ]"
"(' ', ' ', ' ', 'X', ' ', ' ', 'X', 'O', 'O')","[10.         9.4992704  9.5        0.         9.5        9.5
  0.         0.         0.       ]"
"(' ', 'X', 'O', 'X', 'O', 'X', ' ', 'O', ' ')","[-6.7250064   0.          0.          0.          0.          0.
  9.49877417  0.          4.6328832 ]"
"('X', ' ', 'X', 'X', 'O', 'O', 'O', ' ', ' ')","[ 0.         10.          0.          0.          0.          0.
  0.          8.55151796  9.31005885]"
"('O', 'X', 'X', ' ', ' ', 'O', 'O', ' ', 'X')","[ 0.       0.       0.       4.75    -9.88352  0.       0.       4.18208
  0.     ]"
"(' ', 'O', ' ', 'O', 'X', 'X', 'O', 'X', ' ')","[ 8.73240041  0.          1.89458749  0.          0.          0.
  0.          0.         -9.36980001]"
"(' ', 'O', 'X', 'O', 'O', 'X', ' ', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', 'X', ' ', ' ', 'X', 'O', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'X', 'O', ' ', 'O', 'O', 'X', ' ')","[10.         0.         0.         0.         9.99936    0.
  0.         0.        -9.9999744]"
"('O', 'O', 'X', 'X', ' ', 'O', 'X', ' ', ' ')",[ 0.   0.   0.   0.  10.   0.   0.   9.5  9.5]
"('O', 'O', 'X', 'X', 'X', 'O', 'X', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', ' ', 'O', 'O', 'X', 'X', ' ')","[ 5.75496007  0.          0.          9.5         0.          0.
  0.          0.         10.        ]"
"('X', ' ', 'O', 'X', 'O', 'X', ' ', ' ', 'O')","[ 0.         -9.37475368  0.          0.          0.          0.
 10.          9.46983866  0.        ]"
"('O', 'X', 'O', 'X', 'X', 'X', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', 'O', ' ', 'X', 'X', 'X', ' ', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'O', 'X', 'X', ' ', 'X', ' ', 'O')","[ 10.           0.           0.           0.           0.
   9.99999996   0.         -10.           0.        ]"
"(' ', 'X', ' ', 'X', ' ', ' ', ' ', 'O', 'O')","[ 8.7511984   0.         -6.86150963  0.         -6.41279326  8.70910193
  9.49985311  0.          0.        ]"
"('O', 'X', 'O', ' ', 'X', 'X', 'O', 'X', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', ' ', 'O', 'O', ' ', 'X', ' ')","[ 0.          0.31861624 -6.54859384  9.4996932   0.          0.
 -6.7249988   0.         -9.24541672]"
"('O', 'X', 'O', 'O', ' ', ' ', 'X', ' ', 'X')","[ 0.          0.          0.          0.          8.70351961  8.5563333
  0.         10.          0.        ]"
"(' ', 'X', 'O', 'O', 'X', ' ', 'X', ' ', 'O')","[ 1.80396454  0.          0.          0.          0.          4.755776
  0.         10.          0.        ]"
"('X', 'X', 'O', 'O', 'X', ' ', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', 'O', 'X', ' ', 'O', ' ', 'X')","[10.          0.          0.          0.          0.         -9.99879369
  0.          9.99999999  0.        ]"
"('O', 'X', ' ', ' ', 'X', ' ', 'X', 'O', 'O')",[ 0.   0.  10.   9.5  0.   9.5  0.   0.   0. ]
"('O', 'X', ' ', 'X', 'X', ' ', ' ', 'O', 'O')","[ 0.          0.         -9.25019994  0.          0.         10.
  9.5         0.          0.        ]"
"('O', ' ', ' ', ' ', 'O', ' ', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', 'X', 'O', ' ', 'O', ' ', 'X')","[ 0.          0.         -9.97733795  0.          0.         -9.9999998
  0.         -9.43344746  0.        ]"
"(' ', 'X', 'O', 'X', ' ', ' ', ' ', ' ', 'O')","[-0.27143358  0.          0.          0.         -6.1000096   7.96448165
  1.27488152  0.31296998  0.        ]"
"(' ', ' ', 'X', 'X', ' ', ' ', 'O', ' ', 'O')","[-6.90324736 -9.52415259  0.          0.         -6.12500238 -9.50357403
  0.          8.20114684  0.        ]"
"('X', ' ', 'O', 'X', 'X', ' ', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', 'O', 'O', 'X', 'X', ' ', ' ', 'X')","[  0.          -9.99981874   0.           0.           0.
   0.          -7.06981771 -10.           0.        ]"
"(' ', 'X', 'O', 'X', 'X', ' ', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'X', ' ', 'X', 'O', 'O', 'X')","[ 8.85101568 -6.72512     0.          0.         10.          0.
  0.          0.          0.        ]"
"('O', 'X', 'O', ' ', ' ', 'X', ' ', 'O', 'X')","[0.         0.         0.         4.78774466 5.69970776 0.
 4.7499999  0.         0.        ]"
