state,q_values
"(' ', ' ', ' ', 'X', ' ', ' ', ' ', 'O', ' ')","[8.26484951 8.56504239 9.02151763 0.         9.49622943 8.69282347
 9.12       0.         9.025     ]"
"(' ', ' ', ' ', 'X', 'X', 'O', ' ', 'O', ' ')","[9.5        5.36541262 9.49995034 0.         0.         0.
 9.5        0.         9.49992893]"
"('O', ' ', 'X', 'X', 'X', 'O', ' ', 'O', ' ')","[ 0.          5.69265301  0.          0.          0.          0.
 10.          0.          8.58678353]"
"('O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 5.]
"('O', 'X', 'X', 'X', 'X', 'O', 'O', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', ' ', 'O', ' ', ' ', 'X')","[6.0169922  9.01837664 9.02402017 8.93296518 9.10479899 0.
 9.04095995 9.424      0.        ]"
"(' ', ' ', ' ', 'O', ' ', 'O', ' ', 'X', 'X')","[-6.10000805  9.47480005  8.8747961   0.          9.5         0.
 10.          0.          0.        ]"
"(' ', ' ', 'X', 'O', 'O', 'O', ' ', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', ' ', ' ', 'O', ' ', ' ', 'X', ' ')","[7.86930593 4.52169162 5.28207499 8.88642822 0.         5.26524141
 6.07761988 0.         6.01529198]"
"('O', 'X', ' ', ' ', 'O', ' ', ' ', 'X', ' ')","[ 0.          0.          0.09473394 -7.3908016   0.         -6.57105925
 -6.2248      0.          9.19599922]"
"('O', 'X', 'O', ' ', 'O', ' ', ' ', 'X', 'X')","[ 0.          0.          0.          9.46884799  0.          8.84583995
 10.          0.          0.        ]"
"('O', 'X', 'O', 'X', 'O', 'O', ' ', 'X', 'X')",[ 0.  0.  0.  0.  0.  0. 10.  0.  0.]
"('O', 'X', 'O', 'X', 'O', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', 'O', ' ', ' ', ' ', ' ')","[6.08455903 0.         9.5        8.32321528 0.         5.88244038
 8.65618173 1.79264147 8.5691535 ]"
"(' ', 'X', ' ', ' ', 'O', ' ', 'O', ' ', 'X')","[-6.10503194e+00  0.00000000e+00  9.50000000e+00  8.07111291e+00
  0.00000000e+00  9.49499968e+00  0.00000000e+00  1.99895181e-03
  0.00000000e+00]"
"('O', 'X', ' ', 'X', 'O', ' ', 'O', ' ', 'X')","[ 0.          0.          5.69270353  0.          0.         -6.22484826
  0.          4.63668244  0.        ]"
"('O', 'X', 'O', 'X', 'O', 'X', 'O', ' ', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', 'O', ' ', ' ', ' ', ' ', ' ', ' ')","[7.95400306 0.         0.         8.58837858 8.08414936 7.50536229
 6.40609806 9.38445761 8.8532849 ]"
"(' ', 'X', 'O', ' ', ' ', ' ', 'X', 'O', ' ')","[8.84311542 0.         0.         4.73537503 5.24059025 5.24051746
 0.         0.         5.12458246]"
"('X', 'X', 'O', ' ', ' ', ' ', 'X', 'O', 'O')","[ 0.          0.          0.         10.          2.2729365   9.46230204
  0.          0.          0.        ]"
"('X', 'X', 'O', 'X', ' ', ' ', 'X', 'O', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', ' ', ' ', ' ', ' ', 'X', ' ')","[0.         3.34396919 9.02485162 8.9457488  8.63916985 8.92613391
 9.49999996 0.         8.94035111]"
"('O', ' ', 'X', 'O', ' ', ' ', ' ', 'X', ' ')","[ 0.         -6.73861635  0.          0.          8.87286272 -9.64993756
  9.5         0.          9.49999201]"
"('O', ' ', 'X', 'O', 'O', ' ', ' ', 'X', 'X')","[  0.         -10.           0.           0.           0.
  10.           9.99999898   0.           0.        ]"
"('O', 'X', 'X', 'O', 'O', 'O', ' ', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'X', 'O', ' ', ' ', 'O', 'X', 'O', ' ')","[ 0.          0.          0.         10.          9.34500799  0.
  0.          0.          9.5       ]"
"('X', 'X', 'O', 'X', ' ', 'O', 'X', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', ' ', ' ', ' ', 'O', ' ', ' ')","[9.4998784  0.         7.63819934 8.97144954 9.01467411 9.01223176
 0.         5.52745908 9.02499981]"
"(' ', 'X', ' ', ' ', ' ', 'X', 'O', 'O', ' ')","[ 8.84603479  0.          6.37896054 -6.12839076  1.89986166  0.
  0.          0.          9.48479981]"
"('O', 'X', ' ', ' ', 'X', 'X', 'O', 'O', ' ')","[  0.           0.         -10.          10.           0.
   0.           0.           0.          -9.22104792]"
"('O', 'X', ' ', 'X', 'X', 'X', 'O', 'O', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('O', ' ', ' ', ' ', ' ', ' ', 'X', 'O', 'X')","[0.         5.38474148 9.5        7.54986866 9.49994885 9.49994893
 0.         0.         0.        ]"
"('O', ' ', 'X', 'O', ' ', ' ', 'X', 'O', 'X')",[ 0.   9.5  0.   0.  10.  10.   0.   0.   0. ]
"('O', ' ', 'X', 'O', 'X', ' ', 'X', 'O', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'O', 'X', ' ', ' ', ' ', ' ', ' ', ' ')","[9.0249361  0.         0.         9.02049547 9.49635103 9.11984921
 8.90672629 8.20388679 9.12      ]"
"('X', 'O', 'X', ' ', ' ', 'O', 'O', 'X', ' ')","[0.         0.         0.         4.74999749 4.90833495 0.
 0.         0.         5.54039562]"
"('X', 'O', 'X', 'X', ' ', 'O', 'O', 'X', 'O')",[0. 0. 0. 0. 5. 0. 0. 0. 0.]
"('X', 'O', 'X', 'X', 'X', 'O', 'O', 'X', 'O')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', ' ', ' ', 'O', 'O', 'X', ' ', ' ', ' ')","[0.         9.46144064 9.5        0.         0.         0.
 8.24122848 6.13584143 8.51305382]"
"('X', ' ', 'O', 'O', 'O', 'X', ' ', ' ', 'X')","[ 0.          2.38528749  0.          0.          0.          0.
  5.66833526 -6.25095968  0.        ]"
"('X', ' ', 'O', 'O', 'O', 'X', 'X', 'O', 'X')",[0. 5. 0. 0. 0. 0. 0. 0. 0.]
"(' ', ' ', 'O', 'X', ' ', ' ', ' ', ' ', ' ')","[9.1048     8.93997207 0.         0.         8.94975245 8.45285036
 5.92631653 8.92849095 8.5386374 ]"
"('O', ' ', 'O', 'X', ' ', ' ', 'X', ' ', ' ')","[ 0.          8.07621701  0.          0.         -1.96881164  0.11956319
  0.         -6.4041374  -6.28482598]"
"('O', ' ', 'O', 'X', ' ', 'O', 'X', ' ', 'X')","[ 0.          9.49975447  0.          0.          2.2910625   0.
  0.         10.          0.        ]"
"('O', ' ', 'O', 'X', ' ', 'O', 'X', 'X', 'X')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"(' ', 'X', ' ', 'O', ' ', 'X', 'O', ' ', ' ')","[9.11939099 0.         6.23001898 0.         5.9488098  0.
 0.         1.74504735 8.18093125]"
"('X', 'X', ' ', 'O', 'O', 'X', 'O', ' ', ' ')","[ 0.          0.         10.          0.          0.          0.
  0.         -9.87008    -9.84402448]"
"('X', 'X', 'X', 'O', 'O', 'X', 'O', ' ', ' ')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('X', 'O', ' ', ' ', ' ', ' ', ' ', ' ', ' ')","[0.         0.         9.025      9.10479977 9.4238784  9.02488445
 9.04397568 9.02497642 6.4167755 ]"
